# x y u v p
7.00000000e-01 7.50000000e-02 -3.46083000e-01 -2.11424000e-01 8.26227000e+02
7.25000000e-01 7.50000000e-02 -2.28685000e-01 -1.82427000e-01 8.26236000e+02
7.50000000e-01 7.50000000e-02 -1.24141000e-01 -1.44056000e-01 8.26215000e+02
7.75000000e-01 7.50000000e-02 -3.55778000e-02 -9.98653000e-02 8.26183000e+02
8.00000000e-01 7.50000000e-02 2.64237000e-02 -5.59234000e-02 8.26192000e+02
8.25000000e-01 7.50000000e-02 6.42370000e-02 -1.63813000e-02 8.26200000e+02
8.50000000e-01 7.50000000e-02 8.32495000e-02 2.11818000e-02 8.26169000e+02
8.75000000e-01 7.50000000e-02 8.45478000e-02 4.80583000e-02 8.26157000e+02
9.00000000e-01 7.50000000e-02 6.64442000e-02 6.74076000e-02 8.26185000e+02
9.25000000e-01 7.50000000e-02 4.14721000e-02 7.86996000e-02 8.26182000e+02
9.50000000e-01 7.50000000e-02 2.17151000e-02 7.57847000e-02 8.26153000e+02
9.75000000e-01 7.50000000e-02 1.08092000e-02 3.80950000e-02 8.26165000e+02
1.00000000e+00 7.50000000e-02 0.00000000e+00 0.00000000e+00 8.26165000e+02
0.00000000e+00 1.00000000e-01 0.00000000e+00 0.00000000e+00 8.26311000e+02
2.50000000e-02 1.00000000e-01 -8.41153000e-03 -1.35561000e-02 8.26311000e+02
5.00000000e-02 1.00000000e-01 -2.04631000e-02 -2.80081000e-02 8.26331000e+02
7.50000000e-02 1.00000000e-01 -3.79667000e-02 -1.33946000e-02 8.26304000e+02
1.00000000e-01 1.00000000e-01 -6.81228000e-02 2.28898000e-02 8.26292000e+02
1.25000000e-01 1.00000000e-01 -1.08805000e-01 6.46144000e-02 8.26317000e+02
1.50000000e-01 1.00000000e-01 -1.67783000e-01 1.08714000e-01 8.26312000e+02
1.75000000e-01 1.00000000e-01 -2.46853000e-01 1.50553000e-01 8.26283000e+02
2.00000000e-01 1.00000000e-01 -3.42519000e-01 1.89691000e-01 8.26291000e+02
2.25000000e-01 1.00000000e-01 -4.50160000e-01 2.26620000e-01 8.26305000e+02
2.50000000e-01 1.00000000e-01 -5.74093000e-01 2.60401000e-01 8.26277000e+02
2.75000000e-01 1.00000000e-01 -7.12094000e-01 2.86340000e-01 8.26261000e+02
3.00000000e-01 1.00000000e-01 -8.53756000e-01 3.02562000e-01 8.26282000e+02
3.25000000e-01 1.00000000e-01 -9.91469000e-01 3.09102000e-01 8.26268000e+02
3.50000000e-01 1.00000000e-01 -1.12825000e+00 3.02192000e-01 8.26229000e+02
3.75000000e-01 1.00000000e-01 -1.25646000e+00 2.76743000e-01 8.26242000e+02
4.00000000e-01 1.00000000e-01 -1.36281000e+00 2.36292000e-01 8.26259000e+02
4.25000000e-01 1.00000000e-01 -1.44600000e+00 1.86825000e-01 8.26216000e+02
4.50000000e-01 1.00000000e-01 -1.51084000e+00 1.22650000e-01 8.26200000e+02
4.75000000e-01 1.00000000e-01 -1.54678000e+00 4.29926000e-02 8.26247000e+02
5.00000000e-01 1.00000000e-01 -1.54835000e+00 -3.67816000e-02 8.26240000e+02
5.25000000e-01 1.00000000e-01 -1.52153000e+00 -1.11630000e-01 8.26194000e+02
5.50000000e-01 1.00000000e-01 -1.46767000e+00 -1.92810000e-01 8.26229000e+02
5.75000000e-01 1.00000000e-01 -1.38141000e+00 -2.68772000e-01 8.26271000e+02
6.00000000e-01 1.00000000e-01 -1.26815000e+00 -3.20526000e-01 8.26225000e+02
6.25000000e-01 1.00000000e-01 -1.13190000e+00 -3.56724000e-01 8.26210000e+02
6.50000000e-01 1.00000000e-01 -9.78220000e-01 -3.82612000e-01 8.26262000e+02
6.75000000e-01 1.00000000e-01 -8.16068000e-01 -3.81957000e-01 8.26249000e+02
7.00000000e-01 1.00000000e-01 -6.51861000e-01 -3.55219000e-01 8.26195000e+02
7.25000000e-01 1.00000000e-01 -4.89617000e-01 -3.14116000e-01 8.26211000e+02
7.50000000e-01 1.00000000e-01 -3.43411000e-01 -2.60114000e-01 8.26233000e+02
7.75000000e-01 1.00000000e-01 -2.19273000e-01 -1.93551000e-01 8.26187000e+02
8.00000000e-01 1.00000000e-01 -1.18693000e-01 -1.22530000e-01 8.26160000e+02
8.25000000e-01 1.00000000e-01 -4.38740000e-02 -5.81784000e-02 8.26194000e+02
8.50000000e-01 1.00000000e-01 2.06032000e-03 -5.90048000e-04 8.26191000e+02
8.75000000e-01 1.00000000e-01 2.50338000e-02 4.83880000e-02 8.26147000e+02
9.00000000e-01 1.00000000e-01 2.82705000e-02 8.38955000e-02 8.26159000e+02
9.25000000e-01 1.00000000e-01 1.99788000e-02 9.86759000e-02 8.26194000e+02
9.50000000e-01 1.00000000e-01 6.57213000e-03 8.79351000e-02 8.26165000e+02
9.75000000e-01 1.00000000e-01 3.64445000e-04 4.61355000e-02 8.26143000e+02
1.00000000e+00 1.00000000e-01 0.00000000e+00 0.00000000e+00 8.26143000e+02
0.00000000e+00 1.25000000e-01 0.00000000e+00 0.00000000e+00 8.26332000e+02
2.50000000e-02 1.25000000e-01 -7.75435000e-03 -2.57716000e-03 8.26332000e+02
5.00000000e-02 1.25000000e-01 -2.84012000e-02 -6.78355000e-03 8.26328000e+02
7.50000000e-02 1.25000000e-01 -6.37450000e-02 2.40823000e-02 8.26296000e+02
1.00000000e-01 1.25000000e-01 -1.17219000e-01 7.20752000e-02 8.26307000e+02
1.25000000e-01 1.25000000e-01 -1.87447000e-01 1.27088000e-01 8.26329000e+02
1.50000000e-01 1.25000000e-01 -2.74508000e-01 1.92640000e-01 8.26300000e+02
1.75000000e-01 1.25000000e-01 -3.79318000e-01 2.54714000e-01 8.26278000e+02
2.00000000e-01 1.25000000e-01 -5.06621000e-01 3.09021000e-01 8.26305000e+02
2.25000000e-01 1.25000000e-01 -6.51477000e-01 3.60152000e-01 8.26306000e+02
2.50000000e-01 1.25000000e-01 -8.08001000e-01 4.09394000e-01 8.26261000e+02
2.75000000e-01 1.25000000e-01 -9.72668000e-01 4.43456000e-01 8.26256000e+02
3.00000000e-01 1.25000000e-01 -1.14396000e+00 4.58322000e-01 8.26279000e+02
3.25000000e-01 1.25000000e-01 -1.31208000e+00 4.60557000e-01 8.26250000e+02
3.50000000e-01 1.25000000e-01 -1.46818000e+00 4.46209000e-01 8.26208000e+02
3.75000000e-01 1.25000000e-01 -1.60952000e+00 4.04540000e-01 8.26217000e+02
4.00000000e-01 1.25000000e-01 -1.73654000e+00 3.41750000e-01 8.26224000e+02
4.25000000e-01 1.25000000e-01 -1.83905000e+00 2.68245000e-01 8.26189000e+02
4.50000000e-01 1.25000000e-01 -1.91046000e+00 1.77858000e-01 8.26171000e+02
4.75000000e-01 1.25000000e-01 -1.95594000e+00 7.04562000e-02 8.26188000e+02
5.00000000e-01 1.25000000e-01 -1.97712000e+00 -4.14935000e-02 8.26192000e+02
5.25000000e-01 1.25000000e-01 -1.95978000e+00 -1.52539000e-01 8.26183000e+02
5.50000000e-01 1.25000000e-01 -1.90445000e+00 -2.63004000e-01 8.26182000e+02
5.75000000e-01 1.25000000e-01 -1.82275000e+00 -3.64344000e-01 8.26197000e+02
6.00000000e-01 1.25000000e-01 -1.71126000e+00 -4.51445000e-01 8.26217000e+02
6.25000000e-01 1.25000000e-01 -1.56014000e+00 -5.16688000e-01 8.26213000e+02
6.50000000e-01 1.25000000e-01 -1.38406000e+00 -5.51422000e-01 8.26196000e+02
6.75000000e-01 1.25000000e-01 -1.19555000e+00 -5.60551000e-01 8.26216000e+02
7.00000000e-01 1.25000000e-01 -9.95051000e-01 -5.43513000e-01 8.26229000e+02
7.25000000e-01 1.25000000e-01 -7.89683000e-01 -4.91771000e-01 8.26191000e+02
7.50000000e-01 1.25000000e-01 -5.97828000e-01 -4.16589000e-01 8.26178000e+02
7.75000000e-01 1.25000000e-01 -4.26542000e-01 -3.30022000e-01 8.26207000e+02
8.00000000e-01 1.25000000e-01 -2.80282000e-01 -2.33687000e-01 8.26189000e+02
8.25000000e-01 1.25000000e-01 -1.63816000e-01 -1.35755000e-01 8.26148000e+02
8.50000000e-01 1.25000000e-01 -8.30538000e-02 -4.87967000e-02 8.26169000e+02
8.75000000e-01 1.25000000e-01 -3.19247000e-02 2.21702000e-02 8.26191000e+02
9.00000000e-01 1.25000000e-01 -3.98866000e-03 7.54399000e-02 8.26153000e+02
9.25000000e-01 1.25000000e-01 8.64958000e-03 1.02152000e-01 8.26140000e+02
9.50000000e-01 1.25000000e-01 8.66859000e-03 9.50627000e-02 8.26180000e+02
9.75000000e-01 1.25000000e-01 3.94662000e-03 4.82582000e-02 8.26178000e+02
1.00000000e+00 1.25000000e-01 0.00000000e+00 0.00000000e+00 8.26178000e+02
0.00000000e+00 1.50000000e-01 0.00000000e+00 0.00000000e+00 8.26323000e+02
2.50000000e-02 1.50000000e-01 -2.70325000e-02 1.78586000e-02 8.26323000e+02
5.00000000e-02 1.50000000e-01 -6.55633000e-02 3.13305000e-02 8.26297000e+02
7.50000000e-02 1.50000000e-01 -1.18954000e-01 7.44225000e-02 8.26332000e+02
1.00000000e-01 1.50000000e-01 -1.91959000e-01 1.43762000e-01 8.26334000e+02
1.25000000e-01 1.50000000e-01 -2.88642000e-01 2.22698000e-01 8.26290000e+02
1.50000000e-01 1.50000000e-01 -4.07552000e-01 3.04169000e-01 8.26296000e+02
1.75000000e-01 1.50000000e-01 -5.43126000e-01 3.82839000e-01 8.26325000e+02
2.00000000e-01 1.50000000e-01 -6.98823000e-01 4.61343000e-01 8.26289000e+02
2.25000000e-01 1.50000000e-01 -8.74247000e-01 5.29596000e-01 8.26255000e+02
2.50000000e-01 1.50000000e-01 -1.06161000e+00 5.83342000e-01 8.26282000e+02
2.75000000e-01 1.50000000e-01 -1.25135000e+00 6.22151000e-01 8.26275000e+02
3.00000000e-01 1.50000000e-01 -1.44318000e+00 6.42459000e-01 8.26210000e+02
3.25000000e-01 1.50000000e-01 -1.63142000e+00 6.34642000e-01 8.26202000e+02
3.50000000e-01 1.50000000e-01 -1.80530000e+00 5.99744000e-01 8.26227000e+02
3.75000000e-01 1.50000000e-01 -1.95974000e+00 5.45667000e-01 8.26174000e+02
4.00000000e-01 1.50000000e-01 -2.09762000e+00 4.67638000e-01 8.26116000e+02
4.25000000e-01 1.50000000e-01 -2.21259000e+00 3.61047000e-01 8.26150000e+02
4.50000000e-01 1.50000000e-01 -2.29886000e+00 2.39585000e-01 8.26158000e+02
4.75000000e-01 1.50000000e-01 -2.35654000e+00 1.13090000e-01 8.26088000e+02
5.00000000e-01 1.50000000e-01 -2.38639000e+00 -3.04862000e-02 8.26088000e+02
5.25000000e-01 1.50000000e-01 -2.38348000e+00 -1.84316000e-01 8.26154000e+02
5.50000000e-01 1.50000000e-01 -2.34685000e+00 -3.25689000e-01 8.26133000e+02
5.75000000e-01 1.50000000e-01 -2.27295000e+00 -4.55767000e-01 8.26094000e+02
6.00000000e-01 1.50000000e-01 -2.16238000e+00 -5.82249000e-01 8.26155000e+02
6.25000000e-01 1.50000000e-01 -2.01784000e+00 -6.81924000e-01 8.26194000e+02
6.50000000e-01 1.50000000e-01 -1.83903000e+00 -7.42283000e-01 8.26152000e+02
6.75000000e-01 1.50000000e-01 -1.62496000e+00 -7.71385000e-01 8.26158000e+02
7.00000000e-01 1.50000000e-01 -1.39232000e+00 -7.63549000e-01 8.26208000e+02
7.25000000e-01 1.50000000e-01 -1.15347000e+00 -7.12842000e-01 8.26195000e+02
